question_id,ask_text,answer_1,answer_2,answer_3,answer_4,answer_5,right_answer,subject,source,theme,may_in_subway,have_photo,number_of_decisions,number_of_correct_decisions,photo_url
1146,"В месяц ученик 10 класса Василий П. может сделать 20 домашних заданий или посмотреть 30 фильмов, причем альтернативные издержки просмотра одного фильма постоянны. На текущий момент Василий уже посмотрел 10 фильмов и сделал 10 домашних заданий. Какое максимальное число фильмов он ещё может посмотреть?",1) 5.0,2) 10.0,3) 15.0,4) 20.0,5) 25.0,0,economics,MUN,KPV KTV opportunity costs,1,False,0,0,
1147,"В некоторой стране производятся два товара — крестики и нолики. В стране есть 10 областей, и КПВ каждой из них в производстве крестиков и ноликов линейна. Известно, что во всех областях наклон КПВ различный. В настоящий момент производство крестиков и ноликов осуществляется в стране эффективно. Тогда:","1) в каждой из областей производятся либо только крестики, либо только нолики","2) в каждой из областей производятся и крестики, и нолики","3) найдется максимум одна область такая, что в ней производятся и крестики, и нолики","4) найдутся 0, 1 или 2 области такие, что в каждой из них производятся и крестики, и нолики",5) нет верного ответа,2,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1148,"В стране «Бутербродии» производятся два товара: хлеб и масло. Но однажды те, кто убирал урожай, решили устроить недельную забастовку, с требованием улучшить условия работы. В этой ситуации кривая производственных возможностей:",1) не сдвинется ни по одной из осей,"2) сдвинется к началу координат по оси «хлеб», т.к. была организована забастовка","3) увеличится по оси «масло», т.к. отношение производства хлеба к маслу уменьшилось",4) сдвинется к началу координат по обеим осям,5) нельзя дать однозначного ответа,0,economics,ZAKL,KPV KTV opportunity costs,1,False,0,0,
1149,"В стране 1 кривая производственных возможностей в производстве товаров X и Y описывается уравнением 2x1 + y1 = 20, а в стране 2 — уравнением x2 + 2y2 = 20. Какое максимальное количество товара Y можно произвести в двух странах, если при этом нужно произвести нe менее 10 единиц товара X?",1) 10 единиц,2) 20 единиц,3) 25 единиц,4) 30 единиц,,2,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1150,В стране А из каждой условной единицы труда производятся 1/2 единиц товара Х или 4 единицы товара У. В стране В из каждой условной единицы труда производятся 2 единицы товара Х или 1/4 единиц товара У. Выберите верное утверждение.,1) Страна В обладает абсолютным преимуществом в производстве товара У,2) Страна А обладает абсолютным преимуществом в производстве товара Х,"3) Страна А обладает абсолютным преимуществом в производстве товара Х, только если запас труда в стране А больше, чем в стране В",4) Страна А обладает сравнительным преимуществом в производстве товара Х,5) Страна В обладает сравнительным преимуществом в производстве товара Х,4,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1151,"В стране А производятся два вида продукции: Х и Y. Для производства 1 ед. продукции Х требуется 50 ед. ресурса L, а для производства 1 ед. продукции Y – 25 ед. ресурса L. Общий объём абсолютно взаимозаменяемого ресурса L, которым располагает страна А, составляет 400 ед. Это значит, что альтернативная стоимость производства последней единицы продукции Х равна:",1) 75 единиц ресурса L,2) 50 единиц ресурса L,3) 8 единиц ресурса L,4) 2 единицы товара Y,"5) 0,5 единиц товара Y",3,economics,SIB,KPV KTV opportunity costs,1,False,0,0,
1152,В стране Иксляндии каждый рабочий за час может произвести 13 единиц товара А или 19 единиц товара Б. В стране Зетии каждый рабочий за час может произвести 5 единиц товара А или 4 единиц товара Б. Тогда абсолютное преимущество в производстве товара А имеет страна ...; сравнительное преимущество в производстве товара А имеет страна ...,1) Иксляндия; Зетия,2) Иксляндия; Иксляндия,3) Зетия; Иксляндия,4) Зетия; Зетия,5) Недостаточно информации для ответа,0,economics,ZAKL,KPV KTV opportunity costs,1,False,0,0,
1153,"В течение рабочей недели две швеи Маша и Даша шьют пальто и куртки. Маша за это время может сшить 5 пальто или 8 курток, а Даша - 6 пальто или 9 курток. Они решают объединить усилия. Альтернативные затраты производства первых трёх пальто и первых пяти курток равны, соответственно :","1) 4,5 куртки, 25/8 пальто","2) 1,5 куртки, 5/8 пальто","3) 4,5 куртки, 10/3 пальто","4) 1,5 куртки, 6/9 пальто",5) нет верного ответа,0,economics,MUN,KPV KTV opportunity costs,0,False,0,0,
1154,Для какой КПВ альтернативные издержки строго возрастают?,1) y = 1 − 0.5x,2) y = 1 − 0.5x^2,3) y = 1 − 2x,4) y = 1 − 2 √ x,,1,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1155,"Если граница производственных возможностей имеет такой вид, то это означает, что:",1) товары Х и Y взаимозаменяемые,2) товары Х и Y взаимодополняемые,3) для производства товаров Х и Y используется одно и то же сырьё,4) для производства товаров Х и Y используется принципиально разное сырьё,5) уменьшение средних издержек производства товара Y и увеличение количества работников в бригаде,3,economics,SIB,KPV KTV opportunity costs,1,True,0,0,
1156,"Если при полном и эффективном использовании ресурсов одна страна может выпустить и товара А, и товара Б больше, чем другая, то...",1) она обладает абсолютными преимуществами по обоим товарам,2) она обладает относительными преимуществами по обоим товарам,"3) она обладает абсолютным преимуществом по тому товару, альтернативные издержки производства которого ниже","4) она обладает абсолютным преимуществом по тому товару, альтернативные издержки производства которого выше",5) среди ответов выше нет верного,4,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1157,"Известно, что в данный момент в стране А ресурсы используются полностью и эффективно, и при этом производятся 10 единиц товара Х и 40 единиц товара Y. Альтернативная стоимость единицы товара Y постоянна и равна 2 единицам товара X. Уравнение кривой производственных возможностей страны А имеет вид:",1) X + 2Y = 90,"2) X + 0, 5Y = 30",3) Y = 60 − 2X,4) X = 2Y − 70,5) Нет верного ответа,0,economics,ZAKL,KPV KTV opportunity costs,1,False,0,0,
1158,"Известно, что в стране, которая производит и потребляет только два товара X и Y, альтернативная стоимость производства любой единицы товара X постоянна и равна трём единицам товара Y. Выберите верное утверждение относительно участия этой страны в мировой торговле, где единица товара X стоит px, а единица товара Y - py.","1) Если мировая цена товара X будет в два раза больше цены товара Y , то эта страна будет производить только товар X",2) Снижение мировой цены товара X в 5 раз при прочих равных условиях может не изменить совокупные объёмы потребления товаров X и Y в этой стране,"3) Если мировая цена товара X будет эквивалентна 10-ти рублям, а цена товара Y - 2 рублям, то страна при прочих равных условиях проиграет по сравнению с ситуацией на мировом рынке, когда цена товара X будет эквивалентна 10 долларам, а цена товара Y - 2 долларам","4) Если цена товара X на мировом рынке окажется в три раза меньше цены товара Y, то жители этой страны откажутся от потребления товара Y и станут потреблять только товар X",,1,economics,MUN,KPV KTV opportunity costs,1,False,0,0,
1159,Как повлияют на кривую производственных возможностей забастовки рабочих? Кривая производственных возможностей,1) сдвинется вправо - вверх,2) сдвинется влево - вниз,3) не изменится,4) однозначного вывода о сдвиге сделать нельзя,,2,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1160,Какая страна имеет относительное преимущество в производстве паровозов?,1) A,2) B,3) никакая из двух стран,4) нет верного ответа,5) однозначный вывод сделать нельзя,2,economics,REG,KPV KTV opportunity costs,1,True,0,0,
1161,Какое из нижеприведённых уравнений НЕ может задавать КПВ? (во всех случаях x и y предполагаются неотрицательными),"1) y = √ 100 − x^2 , x<10","2) y = (100/x + 10) − 5, x<10","3) y = (10/x − 10) + 10, x<9",4) все три уравнения могут задавать КПВ,,1,economics,SIB,KPV KTV opportunity costs,1,False,0,0,
1162,"Какое утверждение верно характеризует экономику Страны грёз, если известно, что она производит только 2 блага: грёзы (на электронных носителях) и розы?",1) Альтернативная стоимость грёз падает с увеличением их производства,2) Увеличение производства роз и грёз одновременно возможно только при росте спроса на оба товара,3) Совершенствование технологии выращивания роз увеличит максимально возможное производство грез,"4) Совершенствование технологии выращивания роз, скорее всего, приведет к экономическому росту","5) Если Страна грёз откажется выращивать розы, решив специализироваться на грёзах, это приведёт к экономической деградации",3,economics,SIB,KPV KTV opportunity costs,1,False,0,0,
1163,"Квалифицированный программист зарабатывает за 1 час своей работы 200 рублей. Однажды он решил сделать ремонт в своей квартире. Обладая достаточной сноровкой и умением, он может сделать ремонт своими силами и даже быстрее, чем профессиональный мастер. Для этого ему потребуется всего 50 часов, в то время как мастеру – 80 часов. Выберите наибольшую цену услуг мастера за один час работы из тех цен, при которых программист сочтет выгодным его нанять:",1) 100 рублей,2) 110 рублей,3) 120 рублей,4) 130 рублей,,2,economics,SIB,KPV KTV opportunity costs,1,False,0,0,
1164,КПВ описывается уравнением X^2 + Y^2 = 100. В настоящее время производятся 6 единиц блага Х и 7 единиц блага Y. Альтернативные издержки увеличения выпуска Х на 2 единицы составляют (в единицах блага Y):,1) 3.0,2) 4.0,3) 1.0,4) 0.0,5) невозможно определить,4,economics,MOSH,KPV KTV opportunity costs,1,False,0,0,
1165,Кривая производственных возможностей иллюстрирует:,1) преимущества централизованного распределения ресурсов,2) соотношение между спросом и предложением товаров в экономике,3) альтернативную стоимость производства экономических благ в экономике,4) потребности общества,5) потребности чиновников,2,economics,VP,KPV KTV opportunity costs,1,False,0,0,
1166,"На графике изображены две кривые производственных возможностей рабочей бригады, которая состоит из работников одинаковой квалификации, до и после некоторых изменений. Какое событие могло привести к сдвигу кривой производственных возможностей?",1) Уменьшение средних издержек производства товара Х,2) Увеличение средних издержек производства товара Х и увеличение количества работников в бригаде,3) Увеличение количества работников в бригаде,4) Уменьшение средних издержек производства товара Y,5) Уменьшение средних издержек производства товара Y и увеличение количества работников в бригаде,0,economics,REG,KPV KTV opportunity costs,1,True,0,0,
1167,"На закате Римской империи её граждане жаждали хлеба (X) и зрелищ (Y ). Потреблять эти блага граждане Рима предпочитали в пропорции 3 единицы зрелищ к 2 единицам хлеба. Если уравнение КПВ древнего Рима имело вид X + 2Y = 40, то сколько хлеба и зрелищ производилось тогда?",1) 24 единицы хлеба и 8 единиц зрелищ,2) 18 единиц хлеба и 11 единиц зрелищ,3) 15 единиц хлеба и 10 единиц зрелищ,4) 10 единиц хлеба и 15 единиц зрелищ,5) 8 единиц хлеба и 15 единиц зрелищ,3,economics,MUN,KPV KTV opportunity costs,1,False,0,0,
1168,"Некоторая страна в текущий момент времени производит 10 тонн помидоров и 20 тонн кукурузы. Альтернативная стоимость 1 тонны помидор неизменна и составляет 0,5 тонны кукурузы. Уравнение КПВ данной страны имеет вид:",1) П = 20 − 0.5К,2) П = 50 − 2К,3) П = 40 − 1.5К,4) П = 60 − 2.5К,5) П = 110 − 5К,1,economics,REG,KPV KTV opportunity costs,1,False,0,0,
1169,"Пенсионер получает государственную пенсию в размере 30 руб. в день. Согласно существующему законодательству пенсия одинакова как для работающих, так и для неработающих пенсионеров. Пенсионер может подрабатывать либо вахтёром из расчёта 20 руб. в день, либо диспетчером из расчёта 40 руб. в день. Какова альтернативная стоимость одного дня отдыха для пенсионера?",1) 20.0,2) 30.0,3) 40.0,4) 50.0,5) 70.0,2,economics,VP,KPV KTV opportunity costs,1,False,0,0,
1170,"Производственные возможности некоторой страны представлены в виде таблицы. Для того чтобы данная экономика могла произвести 4 единицы инвестиционных товаров и 14 единиц потребительских товаров, необходимо:",1) Достичь полной занятости ресурсов ,"2) Использовать ресурсы более эффективно, чем сейчас показывают данные таблицы",3) Распределить наличные ресурсы более эффективно среди альтернативных способов производств,4) Достичь экономического роста,5) Нет правильного ответа,3,economics,ZAKL,KPV KTV opportunity costs,1,True,0,0,
1171,"Рабочий может производить детали А, Б, В. Затраты времени на детали и размер оплаты представлены в таблице. В каком интервале значений должен находиться X, если известно, что альтернативная стоимость 1 часа досуга для этого рабочего равна 240?",1) X ≥ 10,2) 15 > X > 5,3) X = 10,4) 20 > X,5) Нет верного ответа,0,economics,ZAKL,KPV KTV opportunity costs,1,True,0,0,
1172,"Робинзон собирает кокосы и ловит крокодилов, причём альтернативные издержки ловли крокодилов постоянны. В 2006 году он выловил крокодилов на 50% больше, чем собрал кокосов. В 2007 году он запланировал собрать кокосов на 50% больше, чем в прошлом году, однако для этого пришлось отказаться от 50% прошлогоднего количества крокодилов. Каковы альтернативные издержки сбора двух кокосов?",1) 1 крокодил,2) 1.5 крокодила,3) 2 крокодила,4) 3 крокодила,5) 4 крокодила,3,economics,ZAKL,KPV KTV opportunity costs,1,False,0,0,
1174,"Страна А может производить 1т пшеницы ил 4т угля, используя одну единицу ресурсов. Страна Б может производить 2т пшеницы или 5т угля, используя также одну единицу ресурсов. В этом случае",1) страна А будет экспортировать пшеницу и импортировать уголь,2) страна Б будет экспортировать пшеницу и импортировать уголь,3) страна А не будет экспортировать и импортировать пшеницу,4) страна Б не будет экспортировать и импортировать уголь,5) все предыдущие ответы неверны,1,economics,MOSH,KPV KTV opportunity costs,1,False,0,0,
1175,"Страны А и B выпускают товары двух видов: Х и Y. Кривые производственных возможностей (КПВ) этих стран представлены на рисунке. На основании этих данных можно сделать вывод, что альтернативные издержки производства одной единицы:",1) товара Х выше в стране В,2) товара Х выше в стране А,3) товара Х одинаковы в обеих странах,4) товара Y выше в стране А,5) товара Y ниже в стране В,1,economics,SIB,KPV KTV opportunity costs,1,True,0,0,
1176,"Страны Альфа и Бета обладают примерно равным количеством ресурсов одинакового качества и производят 2 блага: автомобили «Бета-Джульетта» и велосипеды «Омега». Используя ресурсы полностью, Альфа может произвести 100 автомобилей или 1000 велосипедов, Бета – 150 автомобилей или 1500 велосипедов. Можно утверждать, что:",1) Альфа обладает сравнительным преимуществом в производстве велосипедов,2) Бета обладает сравнительным преимуществом в производстве велосипедов,3) Альфа обладает абсолютным преимуществом в производстве обоих благ,4) у Альфа и Беты нет сравнительных преимуществ друг перед другом в производстве автомобилей и велосипедов,,3,economics,SIB,KPV KTV opportunity costs,1,False,0,0,
1177,"Страны Арбузия и Банания производят два вида товаров: халву (х) и уксус (у). В стране Б люди работают 30 часов в неделю, и на производство 1 ед. товара х уходит 5 часов, а на производство 1 ед. товара у — 10 часов. Страна А за 30 часов может произвести либо 2,5 ед. товара х, либо 3,75 товара у. Если страны будут специализироваться в том товаре, в котором имеют сравнительное преимущество, то сколько (х, у) произведут А и Б соответственно?","1) A - (2,5; 3,75), Б - (5; 10)","2) А - (2,5; 3,75), Б - (6; 3)","3) А - (0; 3,75), Б - (6; 0)","4) А - (2,5; 0), Б - (10; 0)","5) А - (2,5; 3), Б - (6; 0)",2,economics,MOSH,KPV KTV opportunity costs,0,False,0,0,
1178,"У фермера есть два поля, на которых он может выращивать картошку (К) или репу (Р). На первом поле можно вырастить 315 картошек или 430 реп, или частично картошку, частично репу. На втором поле можно вырастить 135 картошек или 225 реп, или частично картошку, частично репу. Кривая производственных возможностей фермера имеет излом в точке ...",1) 135К; 430Р,2) 135К; 225Р,3) 315К; 430Р,4) 315К; 225Р,5) Недостаточно информации для ответа,3,economics,ZAKL,KPV KTV opportunity costs,0,False,0,0,
1179,"У фермера три поля площадью 300, 100 и 500 га, соответственно, на которых можно сажать кукурузу и гречиху. Урожайность кукурузы и гречихи на этих полях равны 4 т/га и 3 т/га, 5 т/га и 3 т/га, 3 т/га и 3 т/га, соответственно. Какова альтернативная стоимость выращивания одной единственной тонны кукурузы?",1) 5т гречихи,2) 1т гречихи,3) 0.75т гречихи,4) 0.6т гречихи,5) нет правильного ответа,3,economics,REG,KPV KTV opportunity costs,0,False,0,0,
1180,"Фермер имеет два поля, на которых он может выращивать овёс и пшеницу. На первом поле он может вырастить 10т овса или 20т пшеницы, на втором поле – 20т овса или 30т пшеницы. Исходя из этих данных, можно утверждать, что его КПВ проходит через следующие точки:",1) 10т овса и 30т пшеницы,2) 20т овса и 20т пшеницы,3) 15т овса и 25т пшеницы,4) верно а) и б),,1,economics,SIB,KPV KTV opportunity costs,0,False,0,0,
1181,Что из нижеперечисленного не может являться альтернативной стоимостью участия.,"1) зарплата раздающего листовки у метро за количество часов, которое школьники тратят на написание олимпиады","2) знания по физике, которые школьник не получил, из-за необходимости пропустить урок ради поездки на олимпиаду",3) диплом победителя Московской олимпиады школьников по экономике,4) удовольствие от прогулки на лыжах во время проведения олимпиады,"5) польза от обеда в любимом ресторане участника, на который он не попал, поскольку решал в это время задачи по экономике",3,economics,MOSH,KPV KTV opportunity costs,1,False,0,0,
1182,Что из перечисленного верно в отношении кривой производственных возможностей (КПВ)?,"1) КПВ дает возможность определить комбинацию товаров и услуг, при которой достигается максимальное возможное удовлетворение потребностей","2) КПВ строится для какого-либо конкретного периода времени, причём предполагается, что в течение этого времени количество и качество производственных ресурсов будет оставаться неизменным","3) КПВ строится только для ситуаций, когда есть как минимум два производителя, способных произвести как минимум два товара","4) КПВ строится только для ситуаций, когда производство регулируется чисто рыночными механизмами",,1,economics,SIB,KPV KTV opportunity costs,1,False,0,0,
